;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
7339;16/17;Nikolas Spalek;13.112313041550827;13.112313041550827;171.0;20;Midfielder;right;36.0;7.0;10.0;36.0;2894.0;0.0;0.0;1.5899999999999999;0.0;0.0;11.0;3.0;6.0;495000.0;495000.0
7340;19/20;Nils Petersen;15.58195221920804;15.789591583986283;188.0;31;Forward;right;27.0;2.0;8.0;27.0;2124.0;0.0;1.0;1.47;0.0;0.0;3.0;5.0;1.0;5850000.0;7200000.0
7341;18/19;Nils Petersen;15.789591583986283;16.012735135300492;188.0;30;Forward;right;26.0;3.0;12.0;27.0;2138.0;0.0;1.0;1.415;0.0;0.0;2.0;4.0;2.0;7200000.0;9000000.0
7342;17/18;Nils Petersen;16.195056692094447;15.725053062848712;188.0;29;Forward;right;37.0;1.0;19.0;37.0;2639.0;0.0;6.0;1.53;0.0;1.0;7.0;8.0;3.0;10800000.0;6750000.0
7343;16/17;Nils Petersen;15.214227439082721;14.962913010801817;188.0;28;Forward;right;34.0;4.0;11.0;35.0;1349.0;0.0;3.0;0.71;0.0;0.0;4.0;26.0;0.0;4050000.0;3150000.0
7352;19/20;Noah Sarenren Bazee;13.388566418178986;13.604789526648622;183.0;23;Forward;right;4.0;0.0;0.0;11.0;137.0;0.0;0.0;0.75;0.0;0.0;2.0;2.0;1.0;652500.0;810000.0
7353;18/19;Noah Sarenren Bazee;13.933293593620657;14.115615150414612;183.0;22;Forward;right;6.0;3.0;1.0;7.0;402.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;1.0;1125000.0;1350000.0
7354;17/18;Noah Sarenren Bazee;14.115615150414612;14.115615150414612;183.0;21;Forward;right;7.0;0.0;0.0;9.0;110.0;0.0;0.0;1.14;0.0;0.0;0.0;7.0;1.0;1350000.0;1350000.0
7355;16/17;Noah Sarenren Bazee;14.115615150414612;14.115615150414612;183.0;20;Forward;right;15.0;7.0;1.0;18.0;864.0;0.0;0.0;0.6933333333333334;0.0;0.0;10.0;5.0;2.0;1350000.0;1350000.0
7360;19/20;Nolan Roux;13.892471599100402;14.115615150414612;182.0;32;Forward;right;22.0;0.0;5.0;28.0;1182.0;0.0;0.0;0.9733333333333333;0.0;0.0;6.0;10.0;1.0;1080000.0;1350000.0
7361;18/19;Nolan Roux;14.403297222866392;14.403297222866392;182.0;31;Forward;right;31.0;0.0;3.0;33.0;1887.0;0.0;0.0;1.46;0.0;0.0;12.0;10.0;2.0;1800000.0;1800000.0
7362;17/18;Nolan Roux;14.962913010801817;14.626440774180603;182.0;30;Forward;right;38.0;1.0;16.0;38.0;3075.0;0.0;0.0;0.7366666666666667;0.0;0.0;14.0;3.0;8.0;3150000.0;2250000.0
7363;16/17;Nolan Roux;14.626440774180603;14.808762330974558;182.0;29;Forward;right;33.0;1.0;5.0;35.0;1894.0;0.0;3.0;1.5775000000000001;0.0;0.0;5.0;15.0;2.0;2250000.0;2700000.0
